coordinated,96,95,93,95,90,95,97,97
full,91,92,94,96,97,98,99,96
msc,92,96,95,97,93,95,95,93
nodereheight,95,98,94,96,97,96,95,95
sa,94,97,95,97,96,95,94,93
updownless,95,95,97,91,95,95,95,98
